CO,2023,´06,3T,10,INFORMACIONCONTABLE,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\INFORMACIONCONTABLE\,1.- ESTADO DE ACTIVIDADES.pdf
CO,2023,´06,3T,10,INFORMACIONCONTABLE,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\INFORMACIONCONTABLE\,2.- ESTADO DE POSICION FINANCIERA.pdf
CO,2023,´06,3T,10,INFORMACIONCONTABLE,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\INFORMACIONCONTABLE\,3.- ESTADO DE CAMBIOS EN LA SITUACION FINANCIERA.pdf
CO,2023,´06,3T,10,INFORMACIONCONTABLE,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\INFORMACIONCONTABLE\,4.- ESTADO DE VARIACION EN LA HACIENDA PUBLICA.pdf
CO,2023,´06,3T,10,INFORMACIONCONTABLE,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\INFORMACIONCONTABLE\,5.- ESTADO DE FLUJO DE EFECTIVO.pdf
CO,2023,´06,3T,10,INFORMACIONCONTABLE,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\INFORMACIONCONTABLE\,6.- NOTAS A ESTADOS FINANCIEROS.pdf
CO,2023,´06,3T,10,INFORMACIONCONTABLE,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\INFORMACIONCONTABLE\,7.- ESTADO ANALITICO DEL ACTIVO.pdf
CO,2023,´06,3T,10,INFORMACIONCONTABLE,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\INFORMACIONCONTABLE\,8.- ESTADO ANALITICO DE LA DEUDA Y OTROS PASIVOS.pdf
CO,2023,´06,3T,´04,INFORMACIONPRESUPUESTARIA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\INFORMACIONPRESUPUESTARIA\,1.- ESTADO ANALITICO DEL EJERCICIO DEL PRESUPUESTO DE EGRESOS POR OBJETO DE GASTO.pdf
CO,2023,´06,3T,´04,INFORMACIONPRESUPUESTARIA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\INFORMACIONPRESUPUESTARIA\,2.- ESTADO ANALITICO DEL EJERCICIO DEL PRESUPUESTO DE EGRESOS POR CLASIFICACION ECONOMICA.pdf
CO,2023,´06,3T,´04,INFORMACIONPRESUPUESTARIA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\INFORMACIONPRESUPUESTARIA\,3.- ESTADO ANALITICO DEL EJERCICIO DEL PRESUPUESTO DE EGRESOS POR CLASIFICACION PROGRAMATICO.pdf
CO,2023,´06,3T,´04,INFORMACIONPRESUPUESTARIA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\INFORMACIONPRESUPUESTARIA\,4.- ESTADO ANALITICO DEL EJERCICIO DEL PRESUPUESTO DE EGRESOS POR CLASIFICACION ADMINISTRATIVA.pdf
CO,2023,´06,3T,´04,INFORMACIONPRESUPUESTARIA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\INFORMACIONPRESUPUESTARIA\,5.- ESTADO ANALITICO DEL EJERCICIO DEL PRESUPUESTO DE EGRESOS POR CLASIFICACION FUNCIONAL.pdf
CO,2023,´06,3T,´04,INFORMACIONPRESUPUESTARIA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\INFORMACIONPRESUPUESTARIA\,6.- ESTADO ANALITICO DE INGRESOS.pdf
CO,2023,´06,3T,´04,INFORMACIONPRESUPUESTARIA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\INFORMACIONPRESUPUESTARIA\,7.- Estado Compaativo Presupuestal de Egresos.pdf
CO,2023,´06,3T,´04,INFORMACIONPRESUPUESTARIA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\INFORMACIONPRESUPUESTARIA\,Estado Comparativo Presupuestal de Ingresos.pdf
CO,2023,´06,3T,´09,LEYDEDISCIPLINAFINANCIERA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\LEYDEDISCIPLINAFINANCIERA\,1.- BP0105202303.pdf
CO,2023,´06,3T,´09,LEYDEDISCIPLINAFINANCIERA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\LEYDEDISCIPLINAFINANCIERA\,2.- EAEPECALDF0105202303.pdf
CO,2023,´06,3T,´09,LEYDEDISCIPLINAFINANCIERA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\LEYDEDISCIPLINAFINANCIERA\,3.- EAPECFLDE0105202303.pdf
CO,2023,´06,3T,´09,LEYDEDISCIPLINAFINANCIERA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\LEYDEDISCIPLINAFINANCIERA\,4.- EAEPECOGLDF0105202303.pdf
CO,2023,´06,3T,´09,LEYDEDISCIPLINAFINANCIERA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\LEYDEDISCIPLINAFINANCIERA\,5.- EAIDLDF0105202303.pdf
CO,2023,´06,3T,´02,SISTEMADERECURSOSFEDERALESTRANSFERIDOS,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\SISTEMADERECURSOSFEDERALESTRANSFERIDOS\,1.- INDICADORES 3ER TRIM 2023.pdf
CO,2023,´06,3T,´02,SISTEMADERECURSOSFEDERALESTRANSFERIDOS,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\SISTEMADERECURSOSFEDERALESTRANSFERIDOS\,2.- EJERCICIO DEL GASTO 3ER TRIM 2023.pdf
CO,2023,´06,3T,´02,SISTEMADERECURSOSFEDERALESTRANSFERIDOS,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\SISTEMADERECURSOSFEDERALESTRANSFERIDOS\,3.- DESTINO DEL GASTO 3ER TRIM 2023.pdf
CO,2023,´06,3T,´01,TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA\,1.- PROGRAMAS CON RECURSOS CONCURRENTES POR ORDENN DE GOBIERNO.pdf
CO,2024,´06,3T,´01,TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA\,10.- PROGRAMAS Y PROYECTOS DE INVERSION.pdf
CO,2025,´06,3T,´01,TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA\,11.- Relacion de cuentas bancarias productivas.pdf
CO,2026,´06,3T,´01,TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA\,12.- Indicador de Postura Fiscal.pdf
CO,2027,´06,3T,´01,TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA\,2. Aplicaci¢n de recursos del FORTAMUN.pdf
CO,2028,´06,3T,´01,TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA\,3.- Seguimiento de Recursos Federales Destino del Gasto FAIS.pdf
CO,2029,´06,3T,´01,TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA\,4. Ejercicio y destino de gasto federalizado y reintegros.pdf
CO,2030,´06,3T,´01,TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA\,5. Recursos Asignados a los Programas de Seguridad Publica.pdf
CO,2031,´06,3T,´01,TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA\,6.- OBLIGACIONS PAGADAS O GARANTIZADAS.pdf
CO,2032,´06,3T,´01,TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA\,7. Montos pagados por ayudas y subsidios.pdf
CO,2033,´06,3T,´01,TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA\,8.- Resultados de las evaluaciones de los recursos federales.pdf
CO,2034,´06,3T,´01,TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA,C:\xampp\htdocs\Transparencia\,CONAC\2023\3T\TRANSPARENCIAYDIFUSIONDELAINFORMACIONFINANCIERA\,9.- Informe sobre Pasivos Contingentes.pdf
